"shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco","asia","africa","rich4","idvar","lat_abst","excolony","logem_dm"
"ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"ADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"AFG",0,NA,NA,1,1,1,93.6999969482422,4.54009819030762,NA,NA,1,0,0,"0_NA_NA_1_1_1_93.7_4.5401",0.366666674613953,1,-0.0558856437946185
"AGO",8,5.36363649368286,7.77064514160156,3,0,1,280,5.63478946685791,-3.41124773025513,1,0,1,0,"8_5.36364_7.77065_3_0_1_280_5.63479",0.136666670441628,1,1.03880563275567
"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"ALB",NA,NA,7.65917158126831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_7.65917_NA_NA_NA_NA_NA",NA,0,NA
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"ARE",0,7.18181800842285,9.80421924591064,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_7.18182_9.80422_NA_NA_NA_NA_NA",0.266666680574417,1,NA
"ARG",60.0000038146973,6.38636350631714,9.13345909118652,1,3,3,68.9000015258789,4.23265600204468,-0.872273802757263,1,0,0,0,"60_6.38636_9.13346_1_3_3_68.9_4.23266",0.37777778506279,1,-0.363327832057558
"ARM",0,NA,7.68248224258423,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_NA_7.68248_NA_NA_NA_NA_NA",0.444444447755814,0,NA
"ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"ATG",NA,NA,9.10830783843994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_9.10831_NA_NA_NA_NA_NA",NA,0,NA
"AUS",98,9.31818199157715,9.89797210693359,7,10,7,8.55000019073486,2.14593124389648,-0.170788332819939,1,0,0,1,"98_9.31818_9.89797_7_10_7_8.55_2.14593",0.300000011920929,1,-2.45005259020575
"AUT",100,9.72727298736572,9.97487735748291,NA,NA,NA,NA,NA,-0.343899756669998,NA,0,0,0,"100_9.72727_9.97488_NA_NA_NA_NA_NA",0.524444460868835,0,NA
"AZE",0,NA,7.30653142929077,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_NA_7.30653_NA_NA_NA_NA_NA",0.447777777910233,0,NA
"BDI",0,NA,6.56526517868042,5,0,1,280,5.63478946685791,-3.50655794143677,NA,0,1,0,"0_NA_6.56527_5_0_1_280_5.63479",0.0366666652262211,1,1.03880563275567
"BEL",100,9.68181800842285,9.99287128448486,NA,NA,NA,NA,NA,-0.179126635193825,NA,0,0,0,"100_9.68182_9.99287_NA_NA_NA_NA_NA",0.561111092567444,0,NA
"BEN",0,NA,7.09007692337036,3,0,1,266.519989013672,5.58544921875,-2.83021783828735,NA,0,1,0,"0_NA_7.09008_3_0_1_266.51999_5.58545",0.103333339095116,1,0.989465384647764
"BFA",0,4.45454549789429,6.84588003158569,3,0,1,280,5.63478946685791,-3.54045939445496,1,0,1,0,"0_4.45455_6.84588_3_0_1_280_5.63479",0.144444450736046,1,1.03880563275567
"BGD",0,5.13636350631714,6.87729597091675,7,0,1,71.4100036621094,4.26843786239624,-2.06356811523438,1,1,0,0,"0_5.13636_6.8773_7_0_1_71.41_4.26844",0.266666680574417,1,-0.327545971705995
"BGR",100,8.90909099578857,8.45744323730469,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_8.90909_8.45744_NA_NA_NA_NA_NA",0.477777779102325,0,NA
"BHR",0,8,9.68595314025879,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_8_9.68595_NA_NA_NA_NA_NA",0.288888901472092,1,NA
"BHS",10,7.5,9.28544807434082,NA,NA,NA,85,4.44265127182007,NA,1,0,0,0,"10_7.5_9.28545_NA_NA_NA_85_4.44265",0.268333315849304,1,-0.153332562282167
"BIH",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"BLR",100,NA,8.34045600891113,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_8.34046_NA_NA_NA_NA_NA",0.588888883590698,0,NA
"BLZ",20,NA,8.37793159484863,NA,NA,1,163.300003051758,5.09558916091919,NA,NA,0,0,0,"20_NA_8.37793_NA_NA_1_163.3_5.09559",0.190555557608604,1,0.499605326816954
"BMU",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_1_NA_NA",NA,0,NA
"BOL",30.0000019073486,5.63636350631714,7.92660236358643,3,4,3,71,4.26268005371094,-1.96611285209656,1,0,0,0,"30_5.63636_7.9266_3_4_3_71_4.26268",0.188888892531395,1,-0.333303780391298
"BRA",40,7.90909099578857,8.72745418548584,1,1,3,71,4.26268005371094,-1.14256417751312,1,0,0,0,"40_7.90909_8.72745_1_1_3_71_4.26268",0.111111111938953,1,-0.333303780391298
"BRB",20,NA,9.26672077178955,NA,NA,1,85,4.44265127182007,-0.906340360641479,NA,0,0,0,"20_NA_9.26672_NA_NA_1_85_4.44265",0.145555555820465,1,-0.153332562282167
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"BTN",0,NA,NA,1,0,1,NA,NA,NA,NA,0,0,0,"0_NA_NA_1_0_1_NA_NA",0.303333312273026,1,NA
"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"BWA",0,7.72727251052856,8.85509300231934,7,0,1,NA,NA,-2.36446046829224,NA,0,1,0,"0_7.72727_8.85509_7_0_1_NA_NA",0.244444444775581,1,NA
"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"CAF",0,NA,7.19293403625488,1,0,1,280,5.63478946685791,-3.41124773025513,NA,0,1,0,"0_NA_7.19293_1_0_1_280_5.63479",0.0777777805924416,1,1.03880563275567
"CAN",99,9.72727298736572,9.98644924163818,7,9,7,16.1000003814697,2.77881932258606,-0.0608121566474438,1,0,0,1,"99_9.72727_9.98645_7_9_7_16.1_2.77882",0.666666686534882,1,-1.81716451151618
"CHE",100,10,10.120210647583,NA,NA,NA,NA,NA,-0.134674891829491,NA,0,0,0,"100_10_10.12021_NA_NA_NA_NA_NA",0.522222220897675,0,NA
"CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"CHL",50,7.81818199157715,9.33609199523926,1,5,7,68.9000015258789,4.23265600204468,-1.33560121059418,1,0,0,0,"50_7.81818_9.33609_1_5_7_68.9_4.23266",0.333333343267441,1,-0.363327832057558
"CHN",0,7.77272748947144,7.88608121871948,NA,NA,NA,118,4.77068471908569,-2.81341075897217,NA,1,0,0,"0_7.77273_7.88608_NA_NA_NA_118_4.77068",0.388888895511627,0,0.174700884983458
"CIV",0,7,7.44424867630005,1,0,1,668,6.50428819656372,-2.3330442905426,1,0,1,0,"0_7_7.44425_1_0_1_668_6.50429",0.0888888910412788,1,1.90830436246149
"CMR",0,6.45454549789429,7.50108194351196,3,0,1,280,5.63478946685791,-2.57702207565308,1,0,1,0,"0_6.45455_7.50108_3_0_1_280_5.63479",0.0666666701436043,1,1.03880563275567
"COG",0,4.68181800842285,7.420578956604,4,0,1,240,5.48063898086548,-2.10373425483704,1,0,1,0,"0_4.68182_7.42058_4_0_1_240_5.48064",0.0111111113801599,1,0.884655146763243
"COL",20,7.31818199157715,8.80986309051514,3,3,5,71,4.26268005371094,-1.33180618286133,1,0,0,0,"20_7.31818_8.80986_3_3_5_71_4.26268",0.0444444455206394,1,-0.333303780391298
"COM",5,NA,7.38398933410645,5,0,1,NA,NA,-3.35240721702576,NA,0,1,0,"5_NA_7.38399_5_0_1_NA_NA",0.134444445371628,1,NA
"CPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"CPV",5,NA,7.97933912277222,NA,NA,NA,NA,NA,-2.57702207565308,NA,0,1,0,"5_NA_7.97934_NA_NA_NA_NA_NA",0.177777782082558,1,NA
"CRI",20,7.04545450210571,8.79482460021973,3,10,7,78.0999984741211,4.35799026489258,-1.35867917537689,1,0,0,0,"20_7.04545_8.79482_3_10_7_78.1_4.35799",0.111111111938953,1,-0.237993569209658
"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"CUB",NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_3_NA_3_NA_NA",NA,0,NA
"CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"CYP",NA,NA,NA,NA,NA,NA,NA,NA,-0.807436287403107,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"CZE",100,8.8636360168457,9.20432186126709,NA,NA,NA,NA,NA,-1.55589711666107,NA,0,0,0,"100_8.86364_9.20432_NA_NA_NA_NA_NA",0.549444437026978,0,NA
"DDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"DEU",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"DEU",100,NA,9.93547058105469,NA,NA,NA,NA,NA,-0.200892925262451,NA,0,0,0,"100_NA_9.93547_NA_NA_NA_NA_NA",0.566666662693024,0,NA
"DJI",0,NA,NA,NA,NA,NA,26,3.25809645652771,NA,NA,0,1,0,"0_NA_NA_NA_NA_NA_26_3.2581",0.12555555999279,1,-1.33788737757453
"DMA",10,NA,8.33086395263672,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,"10_NA_8.33086_NA_NA_NA_85_NA",0.147799998521805,1,NA
"DNK",100,9.72727298736572,10.0055923461914,NA,NA,NA,NA,NA,-0.371063679456711,NA,0,0,0,"100_9.72727_10.00559_NA_NA_NA_NA_NA",0.622222244739532,0,NA
"DOM",25,6.18181800842285,8.36404228210449,3,1,3,130,4.86753463745117,-1.57987916469574,1,0,0,0,"25_6.18182_8.36404_3_1_3_130_4.86753",0.21111111342907,1,0.271550803348936
"DZA",13,6.5,8.38935947418213,2,0,1,78.1999969482422,4.35926961898804,-1.11474168300629,1,0,1,0,"13_6.5_8.38936_2_0_1_78.2_4.35927",0.311111122369766,1,-0.236714215114199
"ECU",30.0000019073486,6.54545450210571,8.47010135650635,3,1,3,71,4.26268005371094,-1.43969511985779,1,0,0,0,"30_6.54545_8.4701_3_1_3_71_4.26268",0.0222222227603197,1,-0.333303780391298
"EGY",0,6.77272748947144,7.95155954360962,1,7,7,67.8000030517578,4.21656227111816,-1.67664659023285,1,0,1,0,"0_6.77273_7.95156_1_7_7_67.8_4.21656",0.300000011920929,1,-0.379421562984072
"ERI",0,NA,6.62007331848145,NA,NA,NA,NA,NA,NA,NA,0,1,0,"0_NA_6.62007_NA_NA_NA_NA_NA",0.16666667163372,1,NA
"ESP",100,9.68181800842285,9.61846828460693,NA,NA,NA,NA,NA,-0.382725656032562,NA,0,0,0,"100_9.68182_9.61847_NA_NA_NA_NA_NA",0.444444447755814,0,NA
"EST",100,NA,8.39389514923096,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_8.3939_NA_NA_NA_NA_NA",0.655555546283722,0,NA
"ETH",0,5.72727251052856,6.10924768447876,1,5,7,26,3.25809645652771,NA,1,0,1,0,"0_5.72727_6.10925_1_5_7_26_3.2581",0.0888888910412788,1,-1.33788737757453
"FIN",100,9.72727298736572,9.82606601715088,NA,NA,NA,NA,NA,-0.309246212244034,NA,0,0,0,"100_9.72727_9.82607_NA_NA_NA_NA_NA",0.711111128330231,0,NA
"FJI",NA,NA,8.30152130126953,7,0,1,11.3999996185303,2.43361330032349,-1.29828345775604,NA,0,0,0,"NA_NA_8.30152_7_0_1_11.4_2.43361",0.200000002980232,1,-2.16237053377875
"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"FRA",100,9.72727298736572,9.96364116668701,NA,NA,NA,2.88000011444092,1.05779027938843,-0.200892925262451,NA,0,0,0,"100_9.72727_9.96364_NA_NA_NA_2.88_1.05779",0.51111114025116,0,-3.53819355471381
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GAB",0,7.81818199157715,8.90788269042969,2,0,1,280,5.63478946685791,-1.85150945186615,1,0,1,0,"0_7.81818_8.90788_2_0_1_280_5.63479",0.0111111113801599,1,1.03880563275567
"GBR",100,9.77272701263428,9.87817001342773,NA,NA,NA,2.54999995231628,0.936093330383301,-0.318828791379929,NA,0,0,0,"100_9.77273_9.87817_NA_NA_NA_2.55_0.93609",0.600000023841858,0,-3.65989050371893
"GEO",100,NA,7.37148952484131,NA,NA,NA,NA,NA,NA,NA,1,0,0,"100_NA_7.37149_NA_NA_NA_NA_NA",0.466666668653488,0,NA
"GHA",0,6.27272748947144,7.36518001556396,1,0,1,668,6.50428819656372,-2.95651149749756,1,0,1,0,"0_6.27273_7.36518_1_0_1_668_6.50429",0.0888888910412788,1,1.90830436246149
"GIN",0,6.54545450210571,7.48997068405151,1,0,1,483,6.18001651763916,-3.14655518531799,1,0,1,0,"0_6.54545_7.48997_1_0_1_483_6.18002",0.122222222387791,1,1.58403268353692
"GLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GMB",0,8.27272701263428,7.27239847183228,7,0,1,1470,7.29301786422729,-3.03655433654785,1,0,1,0,"0_8.27273_7.2724_7_0_1_1470_7.29302",0.147555559873581,1,2.69703403012506
"GNB",0,4.54545450210571,NA,3,0,1,164.660003662109,5.10388278961182,-3.24419355392456,NA,0,1,0,"0_4.54545_NA_3_0_1_164.66_5.10388",0.133333340287209,1,0.507898955509581
"GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GRC",100,7.81818199157715,9.39764976501465,NA,NA,NA,NA,NA,-0.757152497768402,NA,0,0,0,"100_7.81818_9.39765_NA_NA_NA_NA_NA",0.433333337306976,0,NA
"GRD",10,NA,8.41847705841064,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,"10_NA_8.41848_NA_NA_NA_85_NA",0.134100005030632,1,NA
"GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GTM",20,5.13636350631714,8.29404926300049,1,0,1,71,4.26268005371094,-1.56064772605896,1,0,0,0,"20_5.13636_8.29405_1_0_1_71_4.26268",0.170000001788139,1,-0.333303780391298
"GUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"GUY",2,5.88636350631714,7.90470409393311,7,0,1,32.1800003051758,3.47134518623352,-2.25379490852356,1,0,0,0,"2_5.88636_7.9047_7_0_1_32.18_3.47135",0.0555555559694767,1,-1.12463864786872
"HKG",4,8.1363639831543,10.049750328064,NA,NA,NA,14.8999996185303,2.70136117935181,-0.49758043885231,1,1,0,0,"4_8.13636_10.04975_NA_NA_NA_14.9_2.70136",0.246111109852791,1,-1.89462265475043
"HND",20,5.31818199157715,7.68708038330078,3,6,5,78.0999984741211,4.35799026489258,-2.04022097587585,1,0,0,0,"20_5.31818_7.68708_3_6_5_78.1_4.35799",0.16666667163372,1,-0.237993569209658
"HRV",100,NA,8.41847705841064,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_8.41848_NA_NA_NA_NA_NA",0.501111090183258,0,NA
"HTI",0,3.72727274894714,7.14677238464355,1,0,1,130,4.86753463745117,-2.8647038936615,1,0,0,0,"0_3.72727_7.14677_1_0_1_130_4.86753",0.21111111342907,1,0.271550803348936
"HUN",100,9,8.80986309051514,NA,NA,NA,NA,NA,-1.18090748786926,NA,0,0,0,"100_9_8.80986_NA_NA_NA_NA_NA",0.522222220897675,0,NA
"IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"IDN",0,7.59090900421143,8.0709056854248,1,0,1,170,5.13579845428467,-2.20727491378784,1,1,0,0,"0_7.59091_8.07091_1_0_1_170_5.1358",0.0555999986827374,1,0.539814620182432
"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"IMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"IND",0,8.27272701263428,7.32600021362305,7,0,1,48.6300010681152,3.88424062728882,-2.45340800285339,1,1,0,0,"0_8.27273_7.326_7_0_1_48.63_3.88424",0.222200006246567,1,-0.711743206813417
"IRL",NA,9.72727298736572,9.76938438415527,NA,NA,NA,NA,NA,-0.549912989139557,NA,0,0,0,"NA_9.72727_9.76938_NA_NA_NA_NA_NA",0.588888883590698,0,NA
"IRN",0,4.77272748947144,8.60520362854004,NA,NA,NA,NA,NA,-1.22078001499176,NA,1,0,0,"0_4.77273_8.6052_NA_NA_NA_NA_NA",0.355555564165115,0,NA
"IRQ",0,1.63636362552643,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_1.63636_NA_NA_NA_NA_NA_NA",0.366666674613953,1,NA
"ISL",100,9.72727298736572,9.94366931915283,NA,NA,NA,NA,NA,-0.314710706472397,NA,0,0,0,"100_9.72727_9.94367_NA_NA_NA_NA_NA",0.722222208976746,0,NA
"ISR",0,8.54545497894287,9.78414058685303,NA,NA,NA,NA,NA,-0.417031764984131,NA,1,0,0,"0_8.54545_9.78414_NA_NA_NA_NA_NA",0.347777783870697,1,NA
"ITA",100,9.45454502105713,9.89797210693359,NA,NA,NA,NA,NA,-0.181521892547607,NA,0,0,0,"100_9.45455_9.89797_NA_NA_NA_NA_NA",0.472222208976746,0,NA
"JAM",1.89999997615814,7.09090900421143,8.18868923187256,7,0,1,130,4.86753463745117,-2.04022097587585,1,0,0,0,"1.9_7.09091_8.18869_7_0_1_130_4.86753",0.201666668057442,1,0.271550803348936
"JAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"JOR",0,6.77272748947144,8.17188167572021,NA,NA,NA,NA,NA,-0.877070009708405,NA,1,0,0,"0_6.77273_8.17188_NA_NA_NA_NA_NA",0.344444453716278,1,NA
"JPN",0,9.72727298736572,10.0340766906738,NA,NA,NA,NA,NA,-0.532730460166931,NA,1,0,0,"0_9.72727_10.03408_NA_NA_NA_NA_NA",0.400000005960464,0,NA
"KAZ",NA,NA,8.13153076171875,NA,NA,NA,NA,NA,NA,NA,1,0,0,"NA_NA_8.13153_NA_NA_NA_NA_NA",0.533333361148834,0,NA
"KEN",0,6.04545450210571,7.05617523193359,5,0,1,145,4.97673368453979,-2.88240361213684,1,0,1,0,"0_6.04545_7.05618_5_0_1_145_4.97673",0.0111111113801599,1,0.380749850437559
"KGZ",NA,NA,7.57558488845825,NA,NA,NA,NA,NA,NA,NA,1,0,0,"NA_NA_7.57558_NA_NA_NA_NA_NA",0.455555558204651,0,NA
"KHM",NA,NA,7.1228666305542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_7.12287_NA_NA_NA_NA_NA",NA,0,NA
"KIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"KNA",10,NA,8.89013481140137,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,"10_NA_8.89013_NA_NA_NA_85_NA",0.191100001335144,1,NA
"KOR",0,8.6363639831543,9.41572761535645,NA,NA,NA,118,4.77068471908569,-0.967584013938904,NA,1,0,0,"0_8.63636_9.41573_NA_NA_NA_118_4.77068",0.411111116409302,0,0.174700884983458
"KWT",0,7.04545450210571,9.80366706848145,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_7.04545_9.80367_NA_NA_NA_NA_NA",0.3255555331707,1,NA
