year,state,state_po,dem_votes,gop_votes,dem_share
1976,ALABAMA,AL,659170,504070,0.5666672397785496
1976,ALASKA,AK,44058,71555,0.38108171226419174
1976,ARIZONA,AZ,295602,418642,0.41386696983103816
1976,ARKANSAS,AR,498604,267903,0.6504885147819915
1976,CALIFORNIA,CA,3742284,3882244,0.49082172693181797
1976,COLORADO,CO,460801,584278,0.4409245616838536
1976,CONNECTICUT,CT,647895,719261,0.4738998329378652
1976,DELAWARE,DE,122461,109780,0.527301380893124
1976,DISTRICT OF COLUMBIA,DC,137818,27873,0.8317772238685264
1976,FLORIDA,FL,1636000,1469531,0.526802018720792
1976,GEORGIA,GA,979409,483743,0.6693829485931742
1976,HAWAII,HI,147375,140003,0.5128263123829938
1976,IDAHO,ID,126549,204151,0.38267009374055033
1976,ILLINOIS,IL,2271295,2364269,0.4899716625636061
1976,INDIANA,IN,1014714,1183958,0.46151222192305175
1976,IOWA,IA,619931,632864,0.4948383414684765
1976,KANSAS,KS,430421,502752,0.4612445923746186
1976,KENTUCKY,KY,615717,531852,0.5365402864664347
1976,LOUISIANA,LA,661365,587446,0.5295957514788067
1976,MAINE,ME,232279,236320,0.49568821102904614
1976,MARYLAND,MD,759612,672661,0.5303541992343639
1976,MASSACHUSETTS,MA,1429475,1030276,0.5811462217110593
1976,MICHIGAN,MI,1696714,1893742,0.4725622595013001
1976,MINNESOTA,MN,1070440,819395,0.566419819719711
1976,MISSISSIPPI,MS,381329,366846,0.509678885287533
1976,MISSOURI,MO,998387,927443,0.5184190712575877
1976,MONTANA,MT,149259,173703,0.46215653854013783
1976,NEBRASKA,NE,233293,359219,0.39373548552603155
1976,NEVADA,NV,92479,101273,0.4773060407118378
1976,NEW HAMPSHIRE,NH,147645,185935,0.44260747047185084
1976,NEW JERSEY,NJ,1444653,1509688,0.48899331526049294
1976,NEW MEXICO,NM,201148,211419,0.4875523248345117
1976,NEW YORK,NY,3244165,2825913,0.534451946087019
1976,NORTH CAROLINA,NC,927365,741960,0.5555329249846495
1976,NORTH DAKOTA,ND,136078,153684,0.4696198949482679
1976,OHIO,OH,2009959,2000626,0.5011635459664862
1976,OKLAHOMA,OK,532442,545708,0.49384779483374297
1976,OREGON,OR,490407,492120,0.4991282682307967
1976,PENNSYLVANIA,PA,2328677,2205604,0.513571390921736
1976,RHODE ISLAND,RI,227636,181249,0.5567237731880602
1976,SOUTH CAROLINA,SC,450807,346149,0.565661090449159
1976,SOUTH DAKOTA,SD,147068,151505,0.4925696563319523
1976,TENNESSEE,TN,825879,633969,0.5657294458053167
1976,TEXAS,TX,2082319,1953300,0.5159850322837711
1976,UTAH,UT,182110,337908,0.35019941617405553
1976,VERMONT,VT,77798,100387,0.43661363189943037
1976,VIRGINIA,VA,813896,836554,0.4931358114453634
1976,WASHINGTON,WA,717323,777732,0.47979706432204833
1976,WEST VIRGINIA,WV,435864,314726,0.5806951864533234
1976,WISCONSIN,WI,1040232,1004987,0.5086164366749967
1976,WYOMING,WY,62239,92717,0.40165595394821757
1980,ALABAMA,AL,636730,654192,0.49323661692960535
1980,ALASKA,AK,41842,86112,0.32700814355158886
1980,ARIZONA,AZ,246843,529688,0.3178791316766491
1980,ARKANSAS,AR,398041,403164,0.4968029405707653
1980,CALIFORNIA,CA,3082943,4522994,0.4053337544079053
1980,COLORADO,CO,368009,652264,0.36069659787135405
1980,CONNECTICUT,CT,541732,677210,0.4444280367728735
1980,DELAWARE,DE,105754,111252,0.48733214749822584
1980,DISTRICT OF COLUMBIA,DC,130231,23313,0.8481673005783359
1980,FLORIDA,FL,1419475,2046951,0.4094923705280309
1980,GEORGIA,GA,890955,654168,0.5766239969245167
1980,HAWAII,HI,135879,130112,0.510840592350869
1980,IDAHO,ID,110192,290699,0.2748677321266878
1980,ILLINOIS,IL,1981413,2358049,0.45660337617889035
1980,INDIANA,IN,844197,1255656,0.4020267132985023
1980,IOWA,IA,508672,676026,0.42936849728791643
1980,KANSAS,KS,326150,566812,0.3652451056147966
1980,KENTUCKY,KY,617417,635274,0.4928725439873041
1980,LOUISIANA,LA,708453,792853,0.4718911401140074
1980,MAINE,ME,220974,238522,0.4809051656597664
1980,MARYLAND,MD,726161,680606,0.516191380662185
1980,MASSACHUSETTS,MA,1053802,1057631,0.49909326983143676
1980,MICHIGAN,MI,1661532,1915225,0.46453589103201587
1980,MINNESOTA,MN,954173,873268,0.5221361455718679
1980,MISSISSIPPI,MS,429281,441089,0.4932166779645438
1980,MISSOURI,MO,931182,1074181,0.4643458565855658
1980,MONTANA,MT,118032,206814,0.36334755545704733
1980,NEBRASKA,NE,166424,419214,0.2841755487178086
1980,NEVADA,NV,66666,155017,0.3007267133699923
1980,NEW HAMPSHIRE,NH,108864,221705,0.3293230762715197
1980,NEW JERSEY,NJ,1147364,1546557,0.4259085548536872
1980,NEW MEXICO,NM,167826,250779,0.4009173325688895
1980,NEW YORK,NY,2728372,2637700,0.5084486380354196
1980,NORTH CAROLINA,NC,875635,915018,0.4890031737025543
1980,NORTH DAKOTA,ND,79189,193695,0.2901929024787089
1980,OHIO,OH,1752414,2206545,0.4426451498992538
1980,OKLAHOMA,OK,402026,695570,0.366278667196309
1980,OREGON,OR,456890,571044,0.44447406156426383
1980,PENNSYLVANIA,PA,1937540,2261872,0.46138364132883364
1980,RHODE ISLAND,RI,198342,154793,0.5616605547453524
1980,SOUTH CAROLINA,SC,428220,439277,0.4936270672982154
1980,SOUTH DAKOTA,SD,103855,198343,0.3436654114190034
1980,TENNESSEE,TN,783051,787761,0.4985007753951459
1980,TEXAS,TX,1881147,2510705,0.4283265920618454
1980,UTAH,UT,124266,439687,0.22034814957984086
1980,VERMONT,VT,81952,94628,0.4641069203760335
1980,VIRGINIA,VA,752174,989609,0.4318413947087553
1980,WASHINGTON,WA,650193,865244,0.429046539051112
1980,WEST VIRGINIA,WV,367462,334206,0.5236978172012975
1980,WISCONSIN,WI,981584,1088845,0.4740969142143971
1980,WYOMING,WY,49427,110700,0.3086737402187014
1984,ALABAMA,AL,551899,872849,0.38736604648681733
1984,ALASKA,AK,62007,138377,0.30944087352283617
1984,ARIZONA,AZ,333854,681416,0.3288327242999399
1984,ARKANSAS,AR,338646,534774,0.3877241189805592
1984,CALIFORNIA,CA,3922519,5467009,0.41775465177802334
1984,COLORADO,CO,454975,821817,0.356342301643494
1984,CONNECTICUT,CT,569597,890877,0.39000831236981964
1984,DELAWARE,DE,101656,152190,0.40046327300804424
1984,DISTRICT OF COLUMBIA,DC,180408,29009,0.8614773394710076
1984,FLORIDA,FL,1448816,2730350,0.34667586786454524
1984,GEORGIA,GA,706628,1068722,0.398021798518602
1984,HAWAII,HI,147154,185050,0.442962757823506
1984,IDAHO,ID,108510,297523,0.2672442880258501
1984,ILLINOIS,IL,2086499,2707103,0.4352674669277925
1984,INDIANA,IN,841481,1377230,0.37926570878316285
1984,IOWA,IA,605620,703088,0.4627617466997986
1984,KANSAS,KS,333149,677296,0.3297052288843034
1984,KENTUCKY,KY,539539,821702,0.39635817610548024
1984,LOUISIANA,LA,651586,1037299,0.3858083883745785
1984,MAINE,ME,214515,336500,0.38930882099398384
1984,MARYLAND,MD,787935,879918,0.4724247280785537
1984,MASSACHUSETTS,MA,1239606,1310936,0.48601669762740624
1984,MICHIGAN,MI,1529638,2251571,0.40453675001831424
1984,MINNESOTA,MN,1036364,1032603,0.5009089076819495
1984,MISSISSIPPI,MS,352192,582377,0.3768496494105839
1984,MISSOURI,MO,848583,1274188,0.39975249332122964
1984,MONTANA,MT,146742,232450,0.38698601236313
1984,NEBRASKA,NE,187866,460054,0.28995246326707
1984,NEVADA,NV,91655,188770,0.3268431844521708
1984,NEW HAMPSHIRE,NH,120347,267050,0.31065547745594313
1984,NEW JERSEY,NJ,1261323,1933630,0.39478608918503655
1984,NEW MEXICO,NM,201769,307101,0.39650401870811797
1984,NEW YORK,NY,3001285,3376519,0.47058282129711104
1984,NORTH CAROLINA,NC,824287,1346481,0.3797213705011314
1984,NORTH DAKOTA,ND,104429,200336,0.3426541761685233
1984,OHIO,OH,1825440,2678559,0.40529316280931676
1984,OKLAHOMA,OK,385080,861530,0.3089017415230104
1984,OREGON,OR,536479,685700,0.43895288660662635
1984,PENNSYLVANIA,PA,2228131,2584323,0.4629926852287835
1984,RHODE ISLAND,RI,197106,212080,0.48170269755074707
1984,SOUTH CAROLINA,SC,344459,615539,0.3588122058587622
1984,SOUTH DAKOTA,SD,116113,200267,0.3670048675643214
1984,TENNESSEE,TN,711714,990212,0.4181815190554701
1984,TEXAS,TX,1949276,3433428,0.36213694826986587
1984,UTAH,UT,155369,469105,0.24879978990318252
1984,VERMONT,VT,95730,135865,0.41335089272220904
1984,VIRGINIA,VA,796250,1337078,0.3732431206078015
1984,WASHINGTON,WA,798352,1051670,0.4315364898363371
1984,WEST VIRGINIA,WV,328125,405483,0.44727565675401576
1984,WISCONSIN,WI,995740,1198584,0.45377984290378265
1984,WYOMING,WY,53370,133241,0.28599600237928097
1988,ALABAMA,AL,549506,815576,0.40254431601911095
1988,ALASKA,AK,72584,119251,0.37836682565746604
1988,ARIZONA,AZ,454029,702541,0.39256508469007495
1988,ARKANSAS,AR,349237,466578,0.42808357286884896
1988,CALIFORNIA,CA,4702233,5054917,0.4819268946362411
1988,COLORADO,CO,621453,728177,0.4604617561850285
1988,CONNECTICUT,CT,676584,750241,0.4741884954356701
1988,DELAWARE,DE,108647,139639,0.4375881040413072
1988,DISTRICT OF COLUMBIA,DC,159407,27590,0.8524575260565678
1988,FLORIDA,FL,1656701,2618885,0.38747928354148414
1988,GEORGIA,GA,714792,1081331,0.3979638365523965
1988,HAWAII,HI,192364,158625,0.5480627598015892
1988,IDAHO,ID,147272,253881,0.3671217714936695
1988,ILLINOIS,IL,2215940,2310939,0.4895072300364114
1988,INDIANA,IN,860643,1297763,0.3987400887506799
1988,IOWA,IA,670557,545355,0.5514848114008251
1988,KANSAS,KS,422636,554049,0.4327249829781352
1988,KENTUCKY,KY,580368,734281,0.44146232188211454
1988,LOUISIANA,LA,717460,883702,0.4480870767605027
1988,MAINE,ME,243569,307131,0.4422898129653169
1988,MARYLAND,MD,826304,876167,0.48535569768882997
1988,MASSACHUSETTS,MA,1401415,1194635,0.5398258893318696
1988,MICHIGAN,MI,1675783,1965486,0.46021950039944864
1988,MINNESOTA,MN,1109471,962337,0.5355085992524404
1988,MISSISSIPPI,MS,363921,557890,0.39478917044817213
1988,MISSOURI,MO,1001619,1084953,0.4800308831902278
1988,MONTANA,MT,168936,190412,0.4701181027861572
1988,NEBRASKA,NE,259235,397956,0.39445914505828594
1988,NEVADA,NV,132738,206040,0.39181410835414343
1988,NEW HAMPSHIRE,NH,163696,281537,0.3676636727286612
1988,NEW JERSEY,NJ,1320352,1743192,0.43098842386464825
1988,NEW MEXICO,NM,244497,270341,0.4749008425951464
1988,NEW YORK,NY,3255487,2838414,0.5342205263918793
1988,NORTH CAROLINA,NC,890167,1237258,0.4184246213144999
1988,NORTH DAKOTA,ND,127739,166559,0.4340464427213233
1988,OHIO,OH,1939629,2416549,0.4452593534974925
1988,OKLAHOMA,OK,483423,678367,0.41610187727558334
1988,OREGON,OR,616206,560126,0.5238368079759795
1988,PENNSYLVANIA,PA,2194944,2300087,0.4883045300466226
1988,RHODE ISLAND,RI,225123,177761,0.5587787055331063
1988,SOUTH CAROLINA,SC,370554,606443,0.37927854435581687
1988,SOUTH DAKOTA,SD,145560,165415,0.468076211914141
1988,TENNESSEE,TN,679794,947233,0.4178135949802923
1988,TEXAS,TX,2352748,3036829,0.43653667068862734
1988,UTAH,UT,207343,428442,0.32612125168099276
1988,VERMONT,VT,115775,124331,0.48218286923275555
1988,VIRGINIA,VA,859799,1309162,0.3964105394241759
1988,WASHINGTON,WA,933516,903835,0.5080771175458582
1988,WEST VIRGINIA,WV,341016,310065,0.5237689319762058
1988,WISCONSIN,WI,1126794,1047499,0.5182346629456104
1988,WYOMING,WY,67113,106867,0.38575123577422693
1992,ALABAMA,AL,690080,804283,0.46178873540097015
1992,ALASKA,AK,78294,102000,0.4342573796132983
1992,ARIZONA,AZ,543050,572086,0.48698096016988063
1992,ARKANSAS,AR,505823,337324,0.5999226706612252
1992,CALIFORNIA,CA,5121325,3630574,0.5851672876937908
1992,COLORADO,CO,629681,562850,0.5280206552282498
1992,CONNECTICUT,CT,682318,578313,0.5412511670742668
1992,DELAWARE,DE,126054,102313,0.5519799270472528
1992,DISTRICT OF COLUMBIA,DC,192619,20698,0.9029706961939273
1992,FLORIDA,FL,2071698,2173310,0.48803158910419014
1992,GEORGIA,GA,1008966,995252,0.5034212845109663
1992,HAWAII,HI,179310,136822,0.567199777308213
1992,IDAHO,ID,137013,202645,0.40338516978843425
1992,ILLINOIS,IL,2453350,1734096,0.585882182122468
1992,INDIANA,IN,848420,989375,0.4616510546606123
1992,IOWA,IA,586353,504891,0.5373252911356213
1992,KANSAS,KS,390434,449951,0.4645894441238242
1992,KENTUCKY,KY,665104,617178,0.5186877769476606
1992,LOUISIANA,LA,815971,733386,0.5266513786041565
1992,MAINE,ME,263420,206504,0.5605587286454831
1992,MARYLAND,MD,988571,707094,0.5829990003921766
1992,MASSACHUSETTS,MA,1318639,805039,0.6209222867120157
1992,MICHIGAN,MI,1871182,1554940,0.5461515964697112
1992,MINNESOTA,MN,1020997,747841,0.5772134022448636
1992,MISSISSIPPI,MS,400258,487793,0.45071510532615805
1992,MISSOURI,MO,1053873,811159,0.5650696610031356
1992,MONTANA,MT,154507,144207,0.517240571248753
1992,NEBRASKA,NE,216864,343678,0.3868826956766844
1992,NEVADA,NV,189148,175828,0.5182477751961773
1992,NEW HAMPSHIRE,NH,209040,202484,0.507965513554495
1992,NEW JERSEY,NJ,1436206,1356865,0.5142031835209345
1992,NEW MEXICO,NM,261617,212824,0.5514215676975641
1992,NEW YORK,NY,3346894,2041690,0.6211082540422493
1992,NORTH CAROLINA,NC,1114042,1134661,0.49541535720813284
1992,NORTH DAKOTA,ND,99168,136244,0.42125295227091225
1992,OHIO,OH,1984942,1894310,0.5116816334695452
1992,OKLAHOMA,OK,473066,592929,0.4437788169738132
1992,OREGON,OR,621314,475757,0.5663389151659282
1992,PENNSYLVANIA,PA,2239164,1791841,0.5554852946101531
1992,RHODE ISLAND,RI,213299,131601,0.6184372281820818
1992,SOUTH CAROLINA,SC,525514,577507,0.4764315457275972
1992,SOUTH DAKOTA,SD,124888,136718,0.4773896623166135
1992,TENNESSEE,TN,933521,841300,0.5259803664707596
1992,TEXAS,TX,2281815,2496071,0.47757836834114503
1992,UTAH,UT,183429,322632,0.3624642088601967
1992,VERMONT,VT,133592,88122,0.6025420135850691
1992,VIRGINIA,VA,1038650,1150517,0.4744498706585656
1992,WASHINGTON,WA,993037,731234,0.5759170107251123
1992,WEST VIRGINIA,WV,331001,241974,0.5776883808194074
1992,WISCONSIN,WI,1041066,930855,0.5279450850211544
1992,WYOMING,WY,68160,79347,0.46207976570603426
1996,ALABAMA,AL,662165,769044,0.46266128846311055
1996,ALASKA,AK,80380,122746,0.3957149749416618
1996,ARIZONA,AZ,653288,622073,0.5122377115185426
1996,ARKANSAS,AR,475171,325416,0.5935282486475548
1996,CALIFORNIA,CA,5119835,3828381,0.5721626523096894
1996,COLORADO,CO,671152,691848,0.4924079236977256
1996,CONNECTICUT,CT,735740,483109,0.6036350688231273
1996,DELAWARE,DE,140355,99062,0.5862365663256995
1996,DISTRICT OF COLUMBIA,DC,158220,17339,0.9012354820886426
1996,FLORIDA,FL,2546870,2244536,0.5315496119510641
1996,GEORGIA,GA,1053849,1080843,0.4936773080144583
1996,HAWAII,HI,205012,113943,0.6427615180824882
1996,IDAHO,ID,165443,256595,0.3920097242428407
1996,ILLINOIS,IL,2341744,1587021,0.5960509218545778
1996,INDIANA,IN,887424,1006693,0.46851593644954354
1996,IOWA,IA,620258,492644,0.5573338892373273
1996,KANSAS,KS,387659,583245,0.39927634452015853
1996,KENTUCKY,KY,636614,623283,0.5052905118434284
1996,LOUISIANA,LA,927837,712586,0.5656083827159214
1996,MAINE,ME,312788,186378,0.6266212041685532
1996,MARYLAND,MD,966207,681530,0.5863842348627238
1996,MASSACHUSETTS,MA,1571509,718058,0.6863782540541509
1996,MICHIGAN,MI,1989653,1481212,0.5732441336669677
1996,MINNESOTA,MN,1120380,766395,0.5938068927137576
1996,MISSISSIPPI,MS,394022,439838,0.472527762454129
1996,MISSOURI,MO,1025935,890016,0.5354703747642815
1996,MONTANA,MT,167922,179652,0.48312589549275836
1996,NEBRASKA,NE,236761,363467,0.39445177499216966
1996,NEVADA,NV,203974,199244,0.5058653135524703
1996,NEW HAMPSHIRE,NH,246166,196486,0.5561163171068921
1996,NEW JERSEY,NJ,1652361,1103099,0.599667932033127
1996,NEW MEXICO,NM,273495,232751,0.5402413056103159
1996,NEW YORK,NY,3649630,1738707,0.677320293812358
1996,NORTH CAROLINA,NC,1107849,1225938,0.4747001333026536
1996,NORTH DAKOTA,ND,106905,125050,0.4608868099415835
1996,OHIO,OH,2148222,1859883,0.5359694918172054
1996,OKLAHOMA,OK,488105,582315,0.4559939089329422
1996,OREGON,OR,649641,538152,0.5469311571965823
1996,PENNSYLVANIA,PA,2215819,1801169,0.5516120536083254
1996,RHODE ISLAND,RI,233050,104683,0.690042133874984
1996,SOUTH CAROLINA,SC,506152,573339,0.46888024078014545
1996,SOUTH DAKOTA,SD,139333,150543,0.48066414604865526
1996,TENNESSEE,TN,909146,863530,0.5128664234186056
1996,TEXAS,TX,2459683,2736167,0.4733937661787773
1996,UTAH,UT,221633,361911,0.3798051218074387
1996,VERMONT,VT,137894,80352,0.6318283038406202
1996,VIRGINIA,VA,1091060,1138350,0.4893940549293311
1996,WASHINGTON,WA,1123323,840712,0.5719465284478128
1996,WEST VIRGINIA,WV,327812,233946,0.5835466517610786
1996,WISCONSIN,WI,1071971,845029,0.5591919666145019
1996,WYOMING,WY,77934,105388,0.42512082565104026
